Intercept,Month[T.Aug],Month[T.Dec],Month[T.Feb],Month[T.Jan],Month[T.Jul],Month[T.Jun],Month[T.Mar],Month[T.May],Month[T.Nov],Month[T.Oct],Month[T.Sep],"Q(""Week Day"")[T.Mon]","Q(""Week Day"")[T.Thurs]","Q(""Week Day"")[T.Tues]","Q(""Week Day"")[T.Wed]","Q(""Lead Mgr"")[T.Adams Harkness]","Q(""Lead Mgr"")[T.Advest]","Q(""Lead Mgr"")[T.Aegis Capital]","Q(""Lead Mgr"")[T.Anderson & Strudrick]","Q(""Lead Mgr"")[T.Axiom Capital Management]","Q(""Lead Mgr"")[T.BB&T Capital Markets]","Q(""Lead Mgr"")[T.BMO Capital Markets]","Q(""Lead Mgr"")[T.Banc of America]","Q(""Lead Mgr"")[T.Barclays]","Q(""Lead Mgr"")[T.Bear Stearns]","Q(""Lead Mgr"")[T.BofA Merrill Lynch]","Q(""Lead Mgr"")[T.Broadband Capital]","Q(""Lead Mgr"")[T.Burnham Securities]","Q(""Lead Mgr"")[T.C&Co]","Q(""Lead Mgr"")[T.C.E. Unterberg, Towbin]","Q(""Lead Mgr"")[T.CIBC]","Q(""Lead Mgr"")[T.CRT Capital]","Q(""Lead Mgr"")[T.CSFB]","Q(""Lead Mgr"")[T.Canaccord Genuity]","Q(""Lead Mgr"")[T.Cantor Fitzgerald]","Q(""Lead Mgr"")[T.Capital Growth Financial]","Q(""Lead Mgr"")[T.Casimir Capital]","Q(""Lead Mgr"")[T.Chardan Capital Markets]","Q(""Lead Mgr"")[T.China International]","Q(""Lead Mgr"")[T.Citigroup]","Q(""Lead Mgr"")[T.Cohen & Co.]","Q(""Lead Mgr"")[T.Cowen & Co.]","Q(""Lead Mgr"")[T.Craig-Hallum Capital]","Q(""Lead Mgr"")[T.DA Davidson]","Q(""Lead Mgr"")[T.Dawson James Securities]","Q(""Lead Mgr"")[T.Deutsche Bank]","Q(""Lead Mgr"")[T.EarlyBirdCapital]","Q(""Lead Mgr"")[T.FIG Partners]","Q(""Lead Mgr"")[T.FTN Midwest Securities]","Q(""Lead Mgr"")[T.Feltl & Co.]","Q(""Lead Mgr"")[T.Ferris Baker Watts]","Q(""Lead Mgr"")[T.First Albany]","Q(""Lead Mgr"")[T.Friedman Billings Ramsey]","Q(""Lead Mgr"")[T.Gilford Securities]","Q(""Lead Mgr"")[T.Global Hunter Securities, LLC]","Q(""Lead Mgr"")[T.Goldman Sachs]","Q(""Lead Mgr"")[T.Gunn Allen]","Q(""Lead Mgr"")[T.HCFP Brenner]","Q(""Lead Mgr"")[T.I-Bankers]","Q(""Lead Mgr"")[T.ING Barings]","Q(""Lead Mgr"")[T.Imperial Capital]","Q(""Lead Mgr"")[T.JMP Securities]","Q(""Lead Mgr"")[T.JP Morgan]","Q(""Lead Mgr"")[T.JP Turner]","Q(""Lead Mgr"")[T.Janney Montgomery Scott]","Q(""Lead Mgr"")[T.Jefferies]","Q(""Lead Mgr"")[T.Johnson Rice]","Q(""Lead Mgr"")[T.Keefe, Bruyette & Woods]","Q(""Lead Mgr"")[T.KeyBanc Capital Markets]","Q(""Lead Mgr"")[T.LG Investment & Securities]","Q(""Lead Mgr"")[T.Ladenburg Thalmann]","Q(""Lead Mgr"")[T.Laidlaw & Company (UK) Ltd.]","Q(""Lead Mgr"")[T.Lazard Capital Markets]","Q(""Lead Mgr"")[T.Leerink Partners]","Q(""Lead Mgr"")[T.Legg Mason Wood Walker]","Q(""Lead Mgr"")[T.Lehman Brothers]","Q(""Lead Mgr"")[T.MDB Capital Group LLC]","Q(""Lead Mgr"")[T.MDB Capital Group, LLC]","Q(""Lead Mgr"")[T.Maxim Group]","Q(""Lead Mgr"")[T.Merrill Lynch]","Q(""Lead Mgr"")[T.Merrill Lynch?]","Q(""Lead Mgr"")[T.Merriman Curhan Ford]","Q(""Lead Mgr"")[T.Morgan Joseph]","Q(""Lead Mgr"")[T.Morgan Keegan]","Q(""Lead Mgr"")[T.Morgan Stanley]","Q(""Lead Mgr"")[T.Needham]","Q(""Lead Mgr"")[T.Newbridge Securities]","Q(""Lead Mgr"")[T.Oppenheimer]","Q(""Lead Mgr"")[T.Pali Capital]","Q(""Lead Mgr"")[T.Paulson Investment Co.]","Q(""Lead Mgr"")[T.Piper Jaffray]","Q(""Lead Mgr"")[T.PrinceRidge]","Q(""Lead Mgr"")[T.Punk Ziegel]","Q(""Lead Mgr"")[T.RBC Capital Markets]","Q(""Lead Mgr"")[T.RW Baird]","Q(""Lead Mgr"")[T.Raymond James]","Q(""Lead Mgr"")[T.Rodman & Renshaw]","Q(""Lead Mgr"")[T.Roth Capital]","Q(""Lead Mgr"")[T.Ryan Beck]","Q(""Lead Mgr"")[T.Salomon Smith Barney]","Q(""Lead Mgr"")[T.Sanders Morris Harris]","Q(""Lead Mgr"")[T.Sandler O'Neil + Partners]","Q(""Lead Mgr"")[T.Santander]","Q(""Lead Mgr"")[T.Schneider Securities]","Q(""Lead Mgr"")[T.Scott & Stringfellow]","Q(""Lead Mgr"")[T.Stephens]","Q(""Lead Mgr"")[T.Sterne Agee & Leach]","Q(""Lead Mgr"")[T.Stifel Nicolaus]","Q(""Lead Mgr"")[T.SunTrust Robinson]","Q(""Lead Mgr"")[T.Sunrise Securities]","Q(""Lead Mgr"")[T.Taglich Brothers]","Q(""Lead Mgr"")[T.The Shemano Group]","Q(""Lead Mgr"")[T.ThinkEquity Partners]","Q(""Lead Mgr"")[T.ThinkPanmure]","Q(""Lead Mgr"")[T.Thomas Weisel Partners]","Q(""Lead Mgr"")[T.UBS Investment Bank]","Q(""Lead Mgr"")[T.UBS Warburg]","Q(""Lead Mgr"")[T.WR Hambrecht+Co.]","Q(""Lead Mgr"")[T.Wachovia]","Q(""Lead Mgr"")[T.Wedbush Morgan]","Q(""Lead Mgr"")[T.Wells Fargo Securities]","Q(""Lead Mgr"")[T.WestPark Capital]","Q(""Lead Mgr"")[T.William Blair]","Q(""Lead Mgr"")[T.Wunderlich]","Q(""Total Underwriters"")","Q(""Gap Open Pct"")","Q(""$ Chg Opening"")","Q(""Offer Price"")","Q(""Opening Price"")","Q(""SP Close to Open Chg Pct"")","Q(""SP Week Change"")"
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.09458428680397,2.11,11.0,13.11,0.0,-2.7452856806527914
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.08326394671107411,0.01,12.0,12.01,0.0,-2.1590511692212386
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.821963394342761,2.05,28.0,30.05,0.0,-2.1590511692212386
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.705882352941177,1.0,20.25,21.25,0.0,-4.46578527162957
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.432748538011696,1.1,16.0,17.1,0.0,-5.468546595803716
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.363636363636363,2.5,19.5,22.0,0.0,-4.203721655419159
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.6923076923076925,1.5,18.0,19.5,0.0,-1.0551195269835336
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.63919532770928,2.41,13.0,15.41,0.0,-1.3840960709991526
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.859504132231405,0.36,19.0,19.36,0.0,-2.929317113592433
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.75700934579439,4.75,22.0,26.75,0.0,1.36508760694068
