Date,Issuer,Symbol,Lead/Joint-Lead Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng,$ Chg Opening,$ Chg Close,Star Ratings,Performed,$ Chg Open to Close,% Chg Open to Close,SP Week Change,SP Close to Open Chg Pct,Lead Mgr,Total Underwriters,Week Day,Month,Gap Open Pct,Open to Close Pct
2002-01-28,Synaptics,SYNA,Bear Stearns,11.0,13.11,13.11,19.18,2.11,2.11,2,,0.0,0.0,-2.7452856806527914,0.0,Bear Stearns,1,Mon,Jan,16.09458428680397,0.0
2002-02-01,ZymoGenetics ,ZGEN,Lehman Brothers/Merrill Lynch,12.0,12.01,12.05,0.42,0.01,0.05,1,,0.04,0.33305578684429643,-2.1590511692212386,0.0,Lehman Brothers,2,Fri,Feb,0.08326394671107411,0.33305578684429643
2002-02-01,Carolina Group (Loews Corp.) ,CG,Salomon Smith Barney/Morgan Stanley,28.0,30.05,29.1,3.93,2.05,1.1,3,,-0.9499999999999996,-3.1613976705490843,-2.1590511692212386,0.0,Salomon Smith Barney,2,Fri,Feb,6.821963394342761,-3.1613976705490843
2002-02-05,Sunoco Logistics Partners ,SXL,Lehman Brothers,20.25,21.25,22.1,9.14,1.0,1.85,3,,0.8500000000000001,4.0,-4.46578527162957,0.0,Lehman Brothers,1,Tues,Feb,4.705882352941177,4.0
2002-02-07,ManTech International,MANT,Jefferies,16.0,17.1,18.21,13.81,1.1,2.21,3,,1.11,6.491228070175438,-5.468546595803716,0.0,Jefferies,1,Thurs,Feb,6.432748538011696,6.491228070175438
2002-02-08,Wimm Bill Dann Foods ,WBD,ING Barings,19.5,22.0,22.6,15.9,2.5,3.1,2,,0.6000000000000001,2.727272727272728,-4.203721655419159,0.0,ING Barings,1,Fri,Feb,11.363636363636363,2.727272727272728
2002-02-13,GameStop ,GME,Salomon Smith Barney,18.0,19.5,20.1,11.67,1.5,2.1,3,,0.6000000000000001,3.076923076923077,-1.0551195269835336,0.0,Salomon Smith Barney,1,Wed,Feb,7.6923076923076925,3.0769230769230775
2002-02-15,PayPal,PYPL,Salomon Smith Barney,13.0,15.41,20.09,54.54,2.41,7.09,3,,4.68,30.36988968202466,-1.3840960709991526,0.0,Salomon Smith Barney,1,Fri,Feb,15.63919532770928,30.36988968202466
2002-02-22,PETCO Animal Supplies ,PETC,Merrill Lynch/Morgan Stanley,19.0,19.36,20.0,5.26,0.36,1.0,2,,0.64,3.3057851239669422,-2.929317113592433,0.0,Merrill Lynch,2,Fri,Feb,1.859504132231405,3.3057851239669422
2002-02-27,Integrated Defense ,IDE,Credit Suisse First Boston,22.0,26.75,25.0,13.64,4.75,3.0,3,,-1.75,-6.5420560747663545,1.36508760694068,0.0,CSFB,1,Wed,Feb,17.75700934579439,-6.5420560747663545
2002-03-05,Tsakos Energy Navigation ,TNP,JP Morgan,15.0,15.9,15.1,0.67,0.9,0.1,1,,-0.8,-5.031446540880504,5.256243867500205,0.0,JP Morgan,1,Tues,Mar,5.660377358490567,-5.031446540880504
